auto_id,identifier,batch_number,last_update,L,SIQ1,SIQ1a,SIQ2,SIQ3,SIQ4_cb_1,SIQ4_cb_2,SIQ4_cb_3,SIQ4_cb_4,SIQ4_cb_5,SIQ4_cb_6,SIQ4_cb_7,SIQ4_cb_8,SIQ4_cb_9_other,SIQ4_cb_9,SIQ4_cb_254,SIQ5_a,SIQ5_b,SIQ5_c,SIQ5_d,SIQ5_e,SIQ6,SIQ7,SIQ7a,SIQ7b,SIQ8_cb_1,SIQ8_cb_2,SIQ8_cb_3,SIQ8_cb_4,SIQ8_cb_5,SIQ8_cb_6,SIQ8_cb_7,SIQ8_cb_8_other,SIQ8_cb_8,SIQ8_cb_255,SIQ9_a,SIQ9_b,SIQ9_c,SIQ9_d,SIQ9_e,SIQ9_f,SIQ9_g,SIQ9_h,SIQ9_i,SIQ9_j_other,SIQ9_j,SIQ9_k,SIQ10_cb_1,SIQ10_cb_2,SIQ10_cb_3,SIQ10_cb_4,SIQ10_cb_5,SIQ10_cb_6,SIQ10_cb_7_other,SIQ10_cb_7,SIQ11,SIQ12a_cb_1,SIQ12a_cb_2,SIQ12a_cb_3,SIQ12a_cb_4,SIQ12a_cb_5,SIQ12a_cb_6_other,SIQ12a_cb_6,SIQ12b_cb_1,SIQ12b_cb_2,SIQ12b_cb_3,SIQ12b_cb_4,SIQ12b_cb_6_other,SIQ12b_cb_6,SIQ13a_a_1,SIQ13a_a_2,SIQ13a_a_3,SIQ13a_b_1,SIQ13a_b_2,SIQ13a_b_3,SIQ13a_c_1,SIQ13a_c_2,SIQ13a_c_3,SIQ13a_d_1,SIQ13a_d_2,SIQ13a_d_3,SIQ13a_e_1,SIQ13a_e_2,SIQ13a_e_3,SIQ13b_a_1,SIQ13b_a_2,SIQ13b_a_3,SIQ13b_b_1,SIQ13b_b_2,SIQ13b_b_3,SIQ13b_c_1,SIQ13b_c_2,SIQ13b_c_3,SIQ13b_d_1,SIQ13b_d_2,SIQ13b_d_3,SIQ13b_e_1,SIQ13b_e_2,SIQ13b_e_3,SIQ13c_a_1,SIQ13c_a_2,SIQ13c_a_3,SIQ13d_a_1,SIQ13d_a_2,SIQ13d_a_3,SIQ13d_b_1,SIQ13d_b_2,SIQ13d_b_3,SIQ13d_c_1,SIQ13d_c_2,SIQ13d_c_3,SIQ13e_a_1,SIQ13e_a_2,SIQ13e_a_3,SIQ13e_b_1,SIQ13e_b_2,SIQ13e_b_3,SIQ13e_c_1,SIQ13e_c_2,SIQ13e_c_3,SIQ13e_d_1,SIQ13e_d_2,SIQ13e_d_3,SIQ13e_e_1,SIQ13e_e_2,SIQ13e_e_3,SIQ14_a_1,SIQ14_a_2,SIQ14_a_3,SIQ14_a_4,SIQ14_a_5,SIQ14_b_1,SIQ14_b_2,SIQ14_b_3,SIQ14_b_4,SIQ14_b_5,SIQ14_c_1,SIQ14_c_2,SIQ14_c_3,SIQ14_c_4,SIQ14_c_5,SIQ14_d_1,SIQ14_d_2,SIQ14_d_3,SIQ14_d_4,SIQ14_d_5,SIQ14_e_1,SIQ14_e_2,SIQ14_e_3,SIQ14_e_4,SIQ14_e_5,SIQ15,SIQ16,SIQ17,SIQ17_6_other,SIQ17a,SIQ17b,SIQ17c,auto_id,identifier,selected,received,address1,address2,city,state,zip,pw_assigned,answers_added,saved,language,status,initial_login,last_update,IP_address,batch_number,
"2","test001","181109","NULL","1","1","9999","2","1","1","2","3","4","5","6","0","0","","0","0","0","1","1","1","9999","1","1","35","NULL","1","0","0","0","5","0","7","","0","0","1","9999","9999","9999","9999","1","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","4","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","na","na","na","na","na","na","na","na","na","na","10","na","na","10","na","na","na","na","na","na","na","na","na","na","na","2","na","na","2","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","8","na","na","8","na","na","na","8","na","8","na","na","8","na","8","na","na","8","na","8","na","na","3","65","3","na","na","3","120","3","1","0","1","","1","9","9999","2","test001","0","0","1234 Main Street","Apt 1a","Columbus","OH","48111","1","1","61","1","finished","NULL","2018-11-29 13:53:10","NULL","181109",
"4","test003","181109","NULL","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","9999","9999","9999","4","test003","0","0","1236 Main Street","Apt 3b","Columbus","OH","48113","1","1","61","1","finished","NULL","2018-11-29 13:56:20","NULL","181109",
"224","test223","181109","2018-11-09 16:31:58","1","1","9999","9999","9999","0","0","0","0","0","0","0","0","","0","0","9999","9999","9999","9999","9999","9999","2","NULL","5.75","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","1","0","0","3","0","0","","0","1","0","0","0","","0","1","1","1","100","1","1","1","1","100","1","1","1","1","100","1","1","1","1","1","100","100","100","100","100","100","100","1","100","100","1","1","100","100","100","250","1","100","100","1","100","100","1","1","100","100","250","1","1","250","250","100","100","100","100","1","1","1","100","100","9999","1","9999","100","100","9999","100","9999","100","100","9999","100","9999","100","2.5","9999","100","9999","1.5","100","9999","100","9999","1","1","1","","2","6","9999","224","test223","0","0","1456 Main Street","Apt 223","Columbus","OH","48333","1","1","40","1","finished","NULL","2018-11-09 16:31:58","NULL","181109",
"37","test036","181109","2018-11-10 13:32:10","1","2","9999","2","1","0","0","0","0","0","0","0","0","","0","0","9999","9999","9999","9999","9999","9999","1","4.00","NULL","0","0","0","0","0","0","0","","0","0","0","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","0","0","0","0","0","0","","0","2","0","0","0","0","5","","0","0","0","0","0","","0","1","1","1","1","1","1","1","1","1","11","1","1","1","1","1","1111","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.00","2.00","3","1.00","1","2.00","1.00","1","NA","3","NA","NA","4","NA","1","NA","NA","3","NA","1","NA","NA","2","NA","1","1","1","3","","9999","9999","4","37","test036","0","0","1269 Main Street","Apt 36","Columbus","OH","48146","1","1","28","1","finished","NULL","2018-11-10 13:32:10","NULL","181109",
"38","test037","181109","2018-11-10 13:49:47","1","1","9999","9999","9999","0","0","0","0","0","0","0","0","","0","0","9999","9999","9999","9999","9999","9999","2","NULL","20.00","0","0","0","0","0","0","0","","0","0","0","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","0","0","0","0","0","0","","0","1","0","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","NA","NA","4","NA","5","NA","NA","3","NA","5","NA","NA","4","NA","3","NA","NA","6","NA","8","9","9","2","9","2","0","9999","1","","9999","2","9999","38","test037","0","0","1270 Main Street","Apt 37c","Columbus","OH","48147","1","1","40","1","finished","NULL","2018-11-10 13:49:47","NULL","181109",
"226","test225","181109","2018-11-11 20:37:28","1","2","9999","1","9999","0","0","0","0","0","0","0","0","","0","0","9999","9999","9999","9999","9999","1","1","7","NULL","0","2","0","0","0","0","0","","0","0","0","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","0","0","0","0","0","0","","0","1","0","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","1","11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9999","1","9999","1","1","9999","1","9999","1","1","9999","1","9999","1","1","9999","1","9999","1","1","9999","1","9999","9999","9999","3","","9999","9999","3","226","test225","0","0","1458 Main Street","Apt 225","Columbus","OH","48335","1","1","28","1","finished","NULL","2018-11-11 20:37:28","NULL","181109",
"116","test115","181109","2018-11-11 20:39:46","1","1","9999","1","2","0","0","0","4","0","0","0","0","","0","0","9999","9999","9999","9999","9999","9999","2","NULL","100","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","4","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","na","2","1","2","2","1","2","1","2","2","3","5","1","2","3","3","5","1","2","3","1","2","0","0","4","","9999","9999","9999","116","test115","0","0","1348 Main Street","Apt 115a","Columbus","OH","48225","1","1","40","1","finished","NULL","2018-11-12 00:22:21","NULL","181109",
"128","test127","181109","2018-11-11 21:22:19","1","3","2","1","2","0","0","0","0","0","0","0","0","","0","0","9999","9999","9999","9999","9999","9999","0","56","79","0","0","0","0","0","0","0","stuff here","8","0","1","0","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","2","9999","9999","9999","9999","9999","NULL","9999","0","0","3","0","","0","140","100","140","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","250","250","250","250","250","100","100","250","1","11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","100","100","2","100","3","100","100","2","100","5","100","100","2","100","3","100","100","3","100","2","100","100","3","100","2","0","0","4","","2","3","9999","128","test127","0","0","1360 Main Street","Apt 127","Columbus","OH","48237","1","1","40","1","finished","NULL","2018-11-12 00:23:26","NULL","181109",
"222","test221","181109","2018-11-12 00:24:23","1","1","9999","1","1","1","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","1","1","12345678","NULL","0","0","0","0","0","0","0","","0","0","0","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","0","0","0","0","0","0","","0","2","9999","9999","9999","9999","9999","NULL","9999","0","2","0","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9999","1","9999","1","1","9999","1","9999","1","1","9999","1","9999","1","1","9999","1","9999","1","1","9999","1","9999","9999","9999","3","","9999","9999","3","222","test221","1","0","1454 Main Street","Apt 221","Columbus","OH","48331","1","1","28","1","finished","NULL","2018-11-12 00:24:25","NULL","181109",
"225","test224","181109","2018-11-13 09:42:04","1","1","9999","1","1","1","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","1","1","1","NULL","1","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","1","1","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","2","1","3","1","1","3","1","2","1","1","2","1","3","1","1","3","1","3","1","1","1","","1","5","9999","225","test224","0","0","1457 Main Street","Apt 224d","Columbus","OH","48334","1","1","40","1","finished","NULL","2018-11-13 09:42:04","NULL","181109",
