auto_id,identifier,batch_number,last_update,L,SIQ1,SIQ2,SIQ3,SIQ3_1_other,SIQ4,SIQ5,SIQ6,SIQ7,SIQ8,SIQ9,SIQ10,SIQ11,SIQ12,SIQ13_cb_1,SIQ13_cb_2,SIQ13_cb_7_other,SIQ13_cb_7,SIQ14,SIQP1,SIQP2,SIQP3,SIQP4,SIQP5,SIQP6,SIQP7,SIQP8,SIQP9,SIQP10_a,SIQP10_b,SIQP10_c,SIQP10_d,SIQP11,SIQP12,SIQP13,SIQP14,SIQP15,SIQP16,SIQP17,SIQP18,SIQP19,SIQP20,SIQP21,SIQP22,SIQP23,SIQ15,SIQ16,SIQ17,SIQ18,SIQ19,SIQ20,SIQ21,SIQ22,auto_id,identifier,phone,fname,lname,intake_date,gender_id,group_id,pw_assigned,answers_added,saved,language,status,initial_login,last_update,IP_address,batch_number,
"2","test001","170721","2017-07-25 12:40:56","1","1","2","9999","NULL","NULL","06/08/2017","1","2","1","4","4","9999","1","0","2","","0","2","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","1","3","1","1","1","2","1","","2","test001","1","first_name1","last_name1","06/01/17","2","1","1","1","22","1","finished","NULL","2017-07-25 12:40:56","NULL","170721",
"3","test002","170721","2017-07-25 12:44:41","1","1","1","0","","NULL","NULL","2","9999","2","1","5","2","1","1","0","hypnosis","7","9999","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","1","2","2","9999","1","3","2","Did","3","test002","2","first_name2","last_name2","06/02/17","1","2","1","1","22","1","finished","NULL","2017-07-25 12:44:41","NULL","170721",
"4","test003","170721","2017-07-25 12:48:45","1","2","9999","9999","NULL","NULL","01/01/1900","1","1","1","3","3","4","2","9999","9999","NULL","9999","1","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","2","9999","1","1","1","1","3","","4","test003","1","first_name3","last_name3","06/03/17","2","2","1","1","22","1","finished","NULL","2017-07-25 12:48:45","NULL","170721",
"5","test004","170721","2017-07-25 12:52:13","1","1","1","1","3","14","","2","9999","2","2","1","9999","2","9999","9999","NULL","9999","9999","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","1","1","1","2","2","9999","9999","this","5","test004","2","first_name4","last_name4","06/04/17","1","1","1","1","22","1","finished","NULL","2017-07-25 12:52:13","NULL","170721",
"6","test005","170721","2017-07-25 12:53:48","1","2","9999","9999","NULL","NULL","06/28/2017","1","1","2","3","4","1","1","1","2","","0","2","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","1","4","1","4","1","3","2","","6","test005","1","first_name5","last_name5","06/05/17","2","2","1","1","22","1","finished","NULL","2017-07-25 12:53:48","NULL","170721",
"7","test006","170721","2017-07-25 12:57:43","1","1","1","1","1","2","NULL","2","9999","1","1","5","9999","1","0","2","","0","9999","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","2","9999","1","1","1","1","4","work","7","test006","2","first_name6","last_name6","06/06/17","1","1","1","1","22","1","finished","NULL","2017-07-25 12:57:43","NULL","170721",
"8","test007","170721","2017-07-25 13:00:04","1","2","9999","9999","NULL","NULL","07/14/2017","1","2","2","1","2","9999","1","0","2","candy","7","1","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","1","1","2","9999","1","2","1","","8","test007","1","first_name7","last_name7","06/07/17","2","1","1","1","22","1","finished","NULL","2017-07-25 13:00:04","NULL","170721",
"9","test008","170721","2017-07-25 13:05:35","1","1","2","9999","NULL","NULL","05/30/2017","2","9999","1","1","1","3","1","0","0","hbo","7","9999","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","1","2","1","3","2","9999","9999","out?","9","test008","2","first_name8","last_name8","06/08/17","1","2","1","1","22","1","finished","NULL","2017-07-25 13:05:35","NULL","170721",
"11","test010","170721","2017-08-08 16:34:29","1","1","1","1","twice","7","NULL","2","9999","2","1","1","9999","1","1","0","","0","9999","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","1","3","1","3","2","9999","9999","Wonderful","11","test010","2","first_name10","last_name10","06/10/17","1","1","1","1","22","1","finished","NULL","2017-08-08 16:34:29","NULL","170721",
"12","test011","170721","2017-08-08 16:45:15","1","2","9999","9999","NULL","NULL","06/01/2017","2","9999","1","4","4","3","2","9999","9999","NULL","9999","1","9999","NULL","9999","9999","NULL","NULL","NULL","NULL","9999","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","9999","9999","NULL","NULL","9999","NULL","9999","NULL","2","9999","2","9999","1","2","4","I hated it ","12","test011","1","first_name11","last_name11","06/01/17","2","2","1","1","22","1","finished","NULL","2017-08-08 16:45:15","NULL","170721",
